   1   1   1  1.525u 1.193s    6850.93 0.0% 0+0k 16350+1392io 16pf+0w
   2   2   1  1.461u 1.197s    3470.44 0.0% 0+0k 13092+1400io 39pf+0w
   4   4   1  1.458u 1.147s    1768.42 0.1% 0+0k 12336+1416io 36pf+0w
   8   8   1  1.464u 1.222s     959.54 0.2% 0+0k 14930+1440io 40pf+0w
  16  16   1  1.501u 1.284s     533.52 0.5% 0+0k 15858+1472io 42pf+0w
  32  32   1  1.386u 1.279s     327.00 0.8% 0+0k 15372+1504io 14pf+0w
  64  64   1  1.426u 0.740s     172.74 1.2% 0+0k 16+1512io 0pf+0w
 128  64   2  1.408u 0.799s     100.72 2.1% 0+0k 16+1528io 0pf+0w
 256  64   4  1.413u 0.878s      77.89 2.9% 0+0k 80+1616io 0pf+0w
 512  64   8  1.422u 1.069s      64.49 3.8% 0+0k 88+1712io 0pf+0w
1024  64  16  1.626u 1.433s      63.34 4.8% 0+0k 7146+1952io 37pf+0w
2048  64  32  1.887u 2.449s      54.61 7.9% 0+0k 19370+2384io 20pf+0w
